criterio,inicio,fin,tipo,descripcion
inai,2023-02-20,2023-04-20,aumento,Comisionado
inai,2023-02-20,2023-04-20,aumento,Federación
inai,2023-02-20,2023-04-20,aumento,Ciudadano
inai,2023-02-20,2023-04-20,aumento,Órgano
inai,2023-02-20,2023-04-20,aumento,"Ley 19/2013, de 9 de diciembre, de transparencia, acceso a la información pública y buen gobierno"
inai,2023-02-20,2023-04-20,aumento,Persona jurídica
inai,2023-02-20,2023-04-20,aumento,Consejero
inai,2023-02-20,2023-04-20,aumento,Adán Augusto López Hernández
inai,2023-02-20,2023-04-20,aumento,Senado de México
inai,2023-02-20,2023-04-20,aumento,Registro de Título y Expedición de Cédula Profesional
inai,2023-02-20,2023-04-20,aumento,Atención
inai,2023-02-20,2023-04-20,aumento,Ley Federal de Protección de Datos Personales
inai,2023-02-20,2023-04-20,aumento,Senador
inai,2023-02-20,2023-04-20,aumento,Andrés Manuel López Obrador
inai,2023-02-20,2023-04-20,aumento,Instituto Nacional Electoral
inai,2023-02-20,2023-04-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2023-02-20,2023-04-20,top,Instituto Nacional de Transparencia
inai,2023-02-20,2023-04-20,top,Información
inai,2023-02-20,2023-04-20,top,Dato
inai,2023-02-20,2023-04-20,top,Transparencia
inai,2023-02-20,2023-04-20,top,Información personal
inai,2023-02-20,2023-04-20,top,Andrés Manuel López Obrador
inai,2023-02-20,2023-04-20,top,Comisionado
inai,2023-02-20,2023-04-20,top,Acceso a la información
inai,2023-02-20,2023-04-20,top,Protección de datos personales
inai,2023-02-20,2023-04-20,top,Plataforma informática
inai,2023-02-20,2023-04-20,top,Ley Federal de Transparencia y Acceso a la Información Pública Gubernamental
inai,2023-02-20,2023-04-20,top,Instituto Nacional Electoral
inai,2023-02-20,2023-04-20,top,Funcionario
inai,2023-02-20,2023-04-20,top,Constitución
inai,2023-02-20,2023-04-20,top,Erased
inai,2023-02-20,2023-04-20,top,Federación
inai,2023-02-20,2023-04-20,top,Ciudadano
inai,2023-02-20,2023-04-20,top,Comisión Nacional de los Derechos Humanos
inai,2023-02-20,2023-04-20,top,Solicitud de información
inai,2023-02-20,2023-04-20,top,Órgano
inai,2023-02-20,2023-04-20,top,"Ley 19/2013, de 9 de diciembre, de transparencia, acceso a la información pública y buen gobierno"
inai,2023-02-20,2023-04-20,top,Persona jurídica
inai,2023-02-20,2023-04-20,top,Consejero
inai,2023-02-20,2023-04-20,top,Adán Augusto López Hernández
inai,2022-12-20,2023-02-20,aumento,Fan
inai,2022-12-20,2023-02-20,aumento,Instituto Nacional de Antropología
inai,2022-12-20,2023-02-20,aumento,Comité de la organización
inai,2022-12-20,2023-02-20,aumento,Banco de México
inai,2022-12-20,2023-02-20,aumento,Petróleos Mexicanos
inai,2022-12-20,2023-02-20,aumento,Instituto
inai,2022-12-20,2023-02-20,aumento,Boku Dake ga Inai Machi
inai,2022-12-20,2023-02-20,aumento,Instituto Nacional de Antropología e Historia
inai,2022-12-20,2023-02-20,aumento,Plazo
inai,2022-12-20,2023-02-20,aumento,Consejo Nacional Para Prevenir la Discriminación
inai,2022-12-20,2023-02-20,aumento,Artículo
inai,2022-12-20,2023-02-20,aumento,Secretario
inai,2022-12-20,2023-02-20,aumento,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado
inai,2022-12-20,2023-02-20,aumento,Juicio de amparo
inai,2022-12-20,2023-02-20,aumento,Comisión Federal de Competencia Económica
inai,2022-12-20,2023-02-20,aumento,Derechos humanos
inai,2022-12-20,2023-02-20,aumento,Derechos
inai,2022-12-20,2023-02-20,top,"Instituto Nacional de Transparencia, Acceso a la Información y Protección de Datos Personales"
inai,2022-12-20,2023-02-20,top,Instituto Nacional de Transparencia
inai,2022-12-20,2023-02-20,top,Dato
inai,2022-12-20,2023-02-20,top,Derecho
inai,2022-12-20,2023-02-20,top,Transparencia
inai,2022-12-20,2023-02-20,top,Información
inai,2022-12-20,2023-02-20,top,Información personal
inai,2022-12-20,2023-02-20,top,Privacidad
inai,2022-12-20,2023-02-20,top,Acceso a la información
inai,2022-12-20,2023-02-20,top,Erased
inai,2022-12-20,2023-02-20,top,Fan
inai,2022-12-20,2023-02-20,top,Plataforma informática
inai,2022-12-20,2023-02-20,top,Denuncia
inai,2022-12-20,2023-02-20,top,Instituto Nacional de Antropología
inai,2022-12-20,2023-02-20,top,Derechos humanos
